         128959544 function calls (128371904 primitive calls) in 467.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3513    0.084    0.000    0.085    0.000 {method 'send' of '_socket.socket' objects}
    75177    0.059    0.000    0.085    0.000 futures.py:222(add_done_callback)
    51983    0.025    0.000    0.083    0.000 <frozen abc>:117(__instancecheck__)
     3322    0.007    0.000    0.083    0.000 tracker.py:33(process_message)
     8360    0.042    0.000    0.080    0.000 inspect.py:2712(__init__)
   441594    0.079    0.000    0.079    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.079    0.079 js_utils.py:1(<module>)
    52400    0.047    0.000    0.079    0.000 inspect.py:1655(__new__)
      680    0.023    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
     1110    0.005    0.000    0.077    0.000 dataclasses.py:449(_create_fn)
   109559    0.075    0.000    0.076    0.000 {built-in method builtins.max}
       13    0.000    0.000    0.075    0.006 shadow_fleet_events_mixin.py:53(on_new_token)
     2497    0.010    0.000    0.075    0.000 selector_events.py:129(_read_from_self)
       13    0.000    0.000    0.074    0.006 shadow_recorder.py:157(log_token)
     3303    0.009    0.000    0.073    0.000 tracker.py:125(_handle_update)
     8732    0.028    0.000    0.072    0.000 _connection.py:221(__init__)
     8735    0.014    0.000    0.072    0.000 pathlib.py:420(_from_parsed_parts)
    17477    0.058    0.000    0.072    0.000 pathlib.py:357(__init__)
    96289    0.071    0.000    0.071    0.000 {built-in method sys.intern}
   209600    0.048    0.000    0.071    0.000 inspect.py:954(<genexpr>)
   489554    0.070    0.000    0.070    0.000 __init__.py:1790(isEnabledFor)
     3443    0.004    0.000    0.069    0.000 futures.py:394(_call_set_state)
   148578    0.048    0.000    0.069    0.000 _weakrefset.py:63(__iter__)
     4611    0.010    0.000    0.066    0.000 interceptors.py:49(on_sol_frame)
    15497    0.030    0.000    0.066    0.000 {built-in method _asyncio._register_task}
177692/176750    0.056    0.000    0.066    0.000 {built-in method __new__ of type object at 0xa43b40}
     3443    0.011    0.000    0.065    0.000 _base.py:328(__init__)
    52400    0.036    0.000    0.065    0.000 inspect.py:1727(__new__)
     5072    0.064    0.000    0.064    0.000 {method 'recv' of '_socket.socket' objects}
      758    0.005    0.000    0.064    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.013    0.013    0.061    0.061 __init__.py:120(dump)
   139710    0.040    0.000    0.059    0.000 linecache.py:36(getlines)
    51983    0.058    0.000    0.058    0.000 {built-in method _abc._abc_instancecheck}
   157200    0.037    0.000    0.057    0.000 inspect.py:951(<genexpr>)
     3443    0.018    0.000    0.056    0.000 futures.py:365(_chain_future)
     3443    0.003    0.000    0.056    0.000 futures.py:381(_set_state)
   139710    0.053    0.000    0.055    0.000 traceback.py:265(__init__)
   139710    0.043    0.000    0.055    0.000 linecache.py:147(lazycache)
   278301    0.055    0.000    0.055    0.000 futures.py:181(done)
     3456    0.046    0.000    0.054    0.000 threading.py:277(__init__)
      680    0.054    0.000    0.054    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.054    0.027 network.py:1(<module>)
      736    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      736    0.002    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     6500    0.006    0.000    0.051    0.000 virtual_bot.py:271(_calculate_safety_score)
    27798    0.032    0.000    0.051    0.000 <frozen os>:762(encode)
     3416    0.012    0.000    0.050    0.000 futures.py:330(_set_concurrent_future_state)
    60927    0.050    0.000    0.050    0.000 {built-in method _asyncio._enter_task}
        1    0.000    0.000    0.048    0.048 _context_manager.py:86(__exit__)
        1    0.000    0.000    0.048    0.048 _connection.py:316(stop_sync)
  26042/1    0.411    0.000    0.048    0.048 {method 'switch' of 'greenlet.greenlet' objects}
        1    0.000    0.000    0.048    0.048 _context_manager.py:55(greenlet_main)
    56147    0.032    0.000    0.048    0.000 futures.py:284(__await__)
     1160    0.007    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     7943    0.013    0.000    0.046    0.000 _impl_to_api_mapping.py:124(<lambda>)
        1    0.000    0.000    0.046    0.046 _generated.py:1(<module>)
     8725    0.035    0.000    0.045    0.000 queue.py:97(empty)
    52313    0.039    0.000    0.045    0.000 futures.py:72(__init__)
     3326    0.007    0.000    0.045    0.000 async_utils.py:8(wrapper)
    26196    0.041    0.000    0.045    0.000 futures.py:238(remove_done_callback)
     8734    0.010    0.000    0.044    0.000 tasks.py:534(_on_completion)
     8595    0.034    0.000    0.044    0.000 base.py:282(listeners)
   177656    0.044    0.000    0.044    0.000 {method 'add' of 'set' objects}
   265706    0.043    0.000    0.043    0.000 {method 'endswith' of 'str' objects}
    83054    0.043    0.000    0.043    0.000 {built-in method _contextvars.copy_context}
     6500    0.032    0.000    0.043    0.000 baseline_security_mixin.py:13(check_holder_safety)
      260    0.001    0.000    0.043    0.000 __init__.py:280(_compile)
   104650    0.043    0.000    0.043    0.000 {built-in method time.monotonic}
      149    0.000    0.000    0.042    0.000 __init__.py:226(compile)
    37989    0.027    0.000    0.042    0.000 base_futures.py:13(isfuture)
    34779    0.036    0.000    0.042    0.000 tasks.py:653(sleep)
      370    0.002    0.000    0.041    0.000 dataclasses.py:568(_init_fn)
     8740    0.011    0.000    0.040    0.000 pathlib.py:380(with_segments)
     8124    0.029    0.000    0.040    0.000 inspect.py:2998(__init__)
     3303    0.017    0.000    0.040    0.000 shadow_fleet_recording_mixin.py:10(_record_snapshot)
      132    0.001    0.000    0.040    0.000 _compiler.py:740(compile)
    61004    0.008    0.000    0.039    0.000 encoder.py:414(_iterencode)
   140239    0.039    0.000    0.039    0.000 {method 'pop' of 'dict' objects}
     8124    0.024    0.000    0.039    0.000 inspect.py:747(unwrap)
     3346    0.005    0.000    0.039    0.000 tasks.py:412(create_task)
   104800    0.026    0.000    0.039    0.000 inspect.py:468(istraceback)
        1    0.000    0.000    0.038    0.038 pulse_websocket_feed.py:26(__init__)
        1    0.000    0.000    0.038    0.038 shadow_fleet_manager.py:34(__init__)
        1    0.000    0.000    0.038    0.038 shadow_recorder.py:37(__init__)
        1    0.000    0.000    0.038    0.038 shadow_recorder.py:60(_initialize_db)
        7    0.000    0.000    0.038    0.005 exceptions.py:1(<module>)
